Order_Id,Customer_Full_Name,City,State,Order_Date,Total_Units,Revenue,Product_Name,Category_Name,Store_Name,Store_Representative,Brands
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Fabiola Jackson,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Virgie Wiggins,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Fabiola Jackson,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Virgie Wiggins,Electra
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Fabiola Jackson,Surly
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Genna Serrano,Surly
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,Surly
1,Johnathan Velazquez,Pleasanton,CA,01-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Virgie Wiggins,Surly
